Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Total Rooms
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17/09/2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464,8
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,12/06/2016,6.4,3078,5,4,4,809,165,1910,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211,9
Altona,59 Bracken Gr,5,h,1525000,S,Greg,3/12/2016,13.8,3018,5,3,3,729,268,2005,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301,8
Altona North,45 Hearn St,5,h,1085000,S,FN,3/09/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132,8
Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,22/08/2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,5132,7
Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,17/09/2016,6.3,3143,5,3,4,1491,516,1935,Stonnington City Council,-37.8602,145.013,Southern Metropolitan,4836,8
Ashburton,29A Yuile St,5,h,3510000,S,Jellis,18/03/2017,11,3147,5,5,2,755,444,2015,Boroondara City Council,-37.8598,145.0796,Southern Metropolitan,3052,10
Ashburton,48 Nicholas St,5,h,1600000,S,Marshall,27/11/2016,11,3147,5,3,4,700,266,1950,Boroondara City Council,-37.8724,145.0758,Southern Metropolitan,3052,8
Ashwood,16 Scenic Dr,5,h,1529500,S,Buxton,17/09/2016,12.2,3147,5,3,2,585,317,2000,Monash City Council,-37.8637,145.1024,Southern Metropolitan,2894,8
Balwyn,112 Belmore Rd,5,h,2570000,PI,RT,3/12/2016,9.7,3103,5,3,2,715,420,2009,Boroondara City Council,-37.8028,145.0768,Southern Metropolitan,5682,8
Balwyn,4 Melba Ct,5,h,3250000,PI,hockingstuart,3/12/2016,9.7,3103,5,5,2,651,410,,Boroondara City Council,-37.8071,145.0908,Southern Metropolitan,5682,10
Balwyn,22 Yongala St,5,h,2250000,PI,Noel,3/12/2016,9.7,3103,5,3,2,600,356,2006,Boroondara City Council,-37.8061,145.0801,Southern Metropolitan,5682,8
Balwyn,40 Metung St,5,h,2800000,VB,Marshall,4/06/2016,9.7,3103,5,3,2,678,349,2001,Boroondara City Council,-37.8048,145.0708,Southern Metropolitan,5682,8
Balwyn,49 Metung St,5,h,3400000,VB,Jellis,18/06/2016,9.7,3103,5,6,4,739,502,,Boroondara City Council,-37.8039,145.0714,Southern Metropolitan,5682,11
Balwyn,112 Belmore Rd,5,h,3020000,PI,Jellis,28/05/2016,9.7,3103,5,3,2,715,420,2009,Boroondara City Council,-37.8028,145.0768,Southern Metropolitan,5682,8
Balwyn North,3 Dumblane St,5,h,3300000,PI,hockingstuart,3/12/2016,9.2,3104,5,4,2,760,477,2015,Boroondara City Council,-37.7907,145.0907,Southern Metropolitan,7809,9
Balwyn North,108 Bulleen Rd,5,h,1750000,VB,Jellis,7/11/2016,9.2,3104,5,3,2,705,365,2013,Boroondara City Council,-37.7851,145.0775,Southern Metropolitan,7809,8
Balwyn North,23a The Boulevard,5,h,2200000,VB,Noel,12/06/2016,9.2,3104,5,3,2,900,355,1955,Boroondara City Council,-37.7868,145.0677,Southern Metropolitan,7809,8
Balwyn North,2 Tudor Ct,7,h,2600000,PI,Barry,14/05/2016,9.2,3104,5,3,3,637,529,2008,Boroondara City Council,-37.7898,145.0967,Southern Metropolitan,7809,8
Balwyn North,14 Dumblane St,5,h,1750000,PI,RW,15/10/2016,9.2,3104,5,2,2,710,170,1955,Boroondara City Council,-37.7907,145.0916,Southern Metropolitan,7809,7
Balwyn North,64 Greythorn Rd,5,h,2000000,S,Fletchers,15/10/2016,9.2,3104,5,2,2,1002,244,1950,Boroondara City Council,-37.796,145.0984,Southern Metropolitan,7809,7
Balwyn North,9 Stephens St,5,h,4000000,PI,Marshall,18/06/2016,9.2,3104,5,5,4,1364,518,2013,Boroondara City Council,-37.7961,145.0859,Southern Metropolitan,7809,10
Balwyn North,430 Balwyn Rd,5,h,1875000,PI,Fletchers,27/06/2016,9.2,3104,5,3,2,842,200,1961,Boroondara City Council,-37.7854,145.0869,Southern Metropolitan,7809,8
Balwyn North,23A The Boulevard,5,h,1920000,S,Marshall,27/11/2016,9.2,3104,5,3,2,900,355,1955,Boroondara City Council,-37.7868,145.0677,Southern Metropolitan,7809,8
Balwyn North,123 Winfield Rd,5,h,1560000,S,RT,27/11/2016,9.2,3104,5,2,3,845,199,1980,Boroondara City Council,-37.7898,145.1021,Southern Metropolitan,7809,7
Bentleigh,43 Godfrey St,5,h,1900000,S,Woodards,25/02/2017,13,3204,5,2,2,567,250,1926,Glen Eira City Council,-37.9144,145.0401,Southern Metropolitan,6795,7
Bentleigh,22 Hutchinson St,5,h,1385000,S,Buxton,28/08/2016,13,3204,5,2,2,664,178,1950,Glen Eira City Council,-37.9241,145.048,Southern Metropolitan,6795,7
Bentleigh East,19 Denver St,5,h,1275000,SP,Buxton,3/12/2016,13.9,3165,5,2,2,683,190,1960,Glen Eira City Council,-37.9333,145.0602,Southern Metropolitan,10969,7
Bentleigh East,25 Connie St,5,h,950000,VB,Woodards,7/05/2016,13.9,3165,5,2,4,618,146,1950,Glen Eira City Council,-37.9209,145.0757,Southern Metropolitan,10969,7
Bentleigh East,3 Molden St,5,h,1550000,S,Hodges,18/06/2016,13.9,3165,5,3,2,623,257,1950,Glen Eira City Council,-37.9066,145.0541,Southern Metropolitan,10969,8
Bentleigh East,71 Deakin St,5,h,1550000,PI,hockingstuart,27/11/2016,13.9,3165,5,3,2,583,296,2007,Glen Eira City Council,-37.9143,145.0699,Southern Metropolitan,10969,8
Brighton,176 Were St,5,h,1562500,PI,Buxton,10/09/2016,11.2,3186,5,2,2,655,202,1925,Bayside City Council,-37.9264,145.0044,Southern Metropolitan,10579,7
Brighton,9 Sussex St,5,h,4700000,VB,Hodges,12/11/2016,11.2,3186,5,3,2,1073,221,,Bayside City Council,-37.918,144.9911,Southern Metropolitan,10579,8
Brighton,97 Dendy St,5,h,2730000,S,Gary,14/05/2016,11.2,3186,5,3,2,895,423,1938,Bayside City Council,-37.9204,145.0028,Southern Metropolitan,10579,8
Brighton,31 Orchard St,5,h,2100000,PI,Hodges,16/04/2016,11.2,3186,5,5,2,552,219,1920,Bayside City Council,-37.9012,144.997,Southern Metropolitan,10579,10
Brighton,89 South Rd,3,h,2020000,S,Nick,17/09/2016,11.2,3186,5,6,2,685,419,,Bayside City Council,-37.9284,144.9986,Southern Metropolitan,10579,11
Brighton East,15 Hodder St,5,h,1600000,PI,RT,7/05/2016,10.7,3187,5,2,2,616,245,1945,Bayside City Council,-37.9084,145.0221,Southern Metropolitan,6938,7
Brighton East,375 South Rd,5,h,1200000,VB,hockingstuart,7/05/2016,10.7,3187,5,2,5,775,270,1920,Bayside City Council,-37.932,145.0284,Southern Metropolitan,6938,7
Brighton East,13 Hornby St,4,h,2840000,S,Hodges,10/09/2016,10.7,3187,5,2,2,999,274,1972,Bayside City Council,-37.9135,145.0189,Southern Metropolitan,6938,7
Brighton East,92 Thomas St,5,h,3207000,S,hockingstuart,10/12/2016,10.7,3187,5,5,3,1561,272,1969,Bayside City Council,-37.9102,145.0245,Southern Metropolitan,6938,10
Brighton East,50 Lucas St,5,h,2550000,S,Buxton,12/11/2016,10.7,3187,5,3,2,915,233,1960,Bayside City Council,-37.9231,145.0104,Southern Metropolitan,6938,8
Brighton East,3 Carrington Gr,5,h,1915000,S,Buxton,13/08/2016,10.7,3187,5,2,0,645,238,1970,Bayside City Council,-37.9175,145.0116,Southern Metropolitan,6938,7
Brighton East,139 Thomas St,4,h,1650000,SA,hockingstuart,13/08/2016,10.7,3187,5,3,2,598,212,1948,Bayside City Council,-37.9075,145.0248,Southern Metropolitan,6938,8
Brighton East,25 Camperdown St,5,h,2550000,PI,RT,15/10/2016,10.7,3187,5,3,2,551,346,2016,Bayside City Council,-37.9176,145.009,Southern Metropolitan,6938,8
Brighton East,7 Tuxen Ct,5,h,2050000,PI,RT,15/10/2016,10.7,3187,5,3,3,669,309,1970,Bayside City Council,-37.9289,145.0284,Southern Metropolitan,6938,8
Brighton East,5 Tuxen Ct,5,h,1655000,S,Buxton,27/11/2016,10.7,3187,5,2,2,679,288,1950,Bayside City Council,-37.9291,145.0283,Southern Metropolitan,6938,7
Brunswick,222 Barkly St,5,h,2500000,S,Jellis,19/11/2016,5.2,3056,5,2,2,555,266,1890,Moreland City Council,-37.7767,144.9645,Northern Metropolitan,11918,7
Brunswick West,497 Albion St,5,h,1350000,SP,Woodards,7/11/2016,5.9,3055,5,2,2,510,321,1997,Moreland City Council,-37.7581,144.9414,Northern Metropolitan,7082,7
Brunswick West,542 Albion St,5,h,1200000,PI,Jellis,22/08/2016,5.9,3055,5,2,3,553,193,1920,Moreland City Council,-37.7576,144.9348,Northern Metropolitan,7082,7
Bulleen,9 Albany Pl,5,h,1490000,S,Fletchers,7/11/2016,11.8,3105,5,3,2,796,304,1975,Manningham City Council,-37.7697,145.0871,Eastern Metropolitan,4480,8
Burwood,4 Iris St,5,h,2150000,S,RW,17/09/2016,11.7,3125,5,4,2,643,380,2014,Monash City Council,-37.8454,145.0974,Southern Metropolitan,5678,9
Camberwell,49 Christowel St,5,h,2600000,VB,Marshall,3/12/2016,7.8,3124,5,4,1,708,348,1940,Boroondara City Council,-37.8386,145.067,Southern Metropolitan,8920,9
Camberwell,46 Athelstan Rd,5,h,2608000,S,Marshall,15/10/2016,7.8,3124,5,2,4,730,3112,1920,Boroondara City Council,-37.8424,145.0639,Southern Metropolitan,8920,7
Camberwell,18 Middle Rd,5,h,2700000,VB,Jellis,17/09/2016,7.8,3124,5,3,2,802,317,1994,Boroondara City Council,-37.8442,145.0578,Southern Metropolitan,8920,8
Camberwell,44 Athelstan Rd,5,h,3320000,SP,Weast,28/05/2016,7.8,3124,5,4,2,741,407,2009,Boroondara City Council,-37.8422,145.064,Southern Metropolitan,8920,9
Camberwell,9 Derby St,5,h,2250000,PI,Marshall,28/08/2016,7.8,3124,5,5,1,639,453,2010,Boroondara City Council,-37.8303,145.0668,Southern Metropolitan,8920,10
Canterbury,31 Rubens Gr,5,h,2900000,PI,Jellis,7/05/2016,9,3126,5,2,2,795,297,1910,Boroondara City Council,-37.8181,145.0668,Southern Metropolitan,3265,7
Canterbury,13 Byron St,5,h,2930000,S,Jellis,10/12/2016,9,3126,5,3,4,645,222,2005,Boroondara City Council,-37.8317,145.0738,Southern Metropolitan,3265,8
Canterbury,8 Dudley Pde,5,h,2350000,VB,Jellis,15/10/2016,9,3126,5,2,4,838,282,1910,Boroondara City Council,-37.8252,145.0721,Southern Metropolitan,3265,7
Canterbury,77 Highfield Rd,5,h,3550000,VB,RT,18/03/2017,9,3126,5,4,4,684,427,2013,Boroondara City Council,-37.832,145.0853,Southern Metropolitan,3265,9
Coburg,15 Hardwick St,5,h,1020000,PI,Raine,25/02/2017,7.8,3058,5,2,4,381,286,1985,Darebin City Council,-37.7492,144.969,Northern Metropolitan,11204,7
Coburg North,27 Snapshot Dr,5,h,1172000,S,Ray,19/11/2016,9.2,3058,5,3,2,425,37,2014,Darebin City Council,-37.7302,144.9816,Northern Metropolitan,3445,8
Doncaster,36 Henry St,5,h,1400000,S,Jellis,8/10/2016,13.9,3108,5,3,2,656,320,1985,Manningham City Council,-37.7752,145.1317,Eastern Metropolitan,9028,8
Doncaster,49 Burgundy Dr,5,h,2168000,S,Barry,10/09/2016,13.9,3108,5,5,2,669,395,2016,Manningham City Council,-37.7808,145.1185,Eastern Metropolitan,9028,10
Doncaster,5 Iskandar Pl,5,h,1650000,VB,Jellis,22/05/2016,13.9,3108,5,4,2,500,429,2007,Manningham City Council,-37.7863,145.1105,Eastern Metropolitan,9028,9
Eaglemont,47 Ormond Rd,5,h,1930000,S,Miles,15/10/2016,10.3,3084,5,2,1,939,236,1930,Banyule City Council,-37.7659,145.0585,Eastern Metropolitan,1651,7
Elsternwick,53 Shoobra Rd,4,h,2600000,SP,Biggin,22/08/2016,8.5,3185,5,3,2,701,273,1885,Glen Eira City Council,-37.8897,145.008,Southern Metropolitan,4898,8
Essendon,59 Hedderwick St,5,h,2800000,PI,Nelson,8/10/2016,8,3040,5,4,6,877,378,2005,Moonee Valley City Council,-37.7491,144.9002,Western Metropolitan,9264,9
Essendon,2 Cooke St,5,h,1575000,PI,Brad,16/04/2016,8,3040,5,3,2,700,454,1988,Moonee Valley City Council,-37.7461,144.9173,Western Metropolitan,9264,8
Essendon,18 Washington St,5,h,1811000,S,Nelson,27/11/2016,8,3040,5,3,2,657,284,1930,Moonee Valley City Council,-37.7548,144.9098,Western Metropolitan,9264,8
Essendon North,64 Kerferd St,5,h,1360000,S,Nelson,18/03/2017,9.4,3041,5,3,2,463,196,1930,Moonee Valley City Council,-37.7379,144.9022,Western Metropolitan,1308,8
Glen Iris,56 Gardiner Pde,5,h,2175000,S,Fletchers,4/06/2016,9.2,3146,5,3,4,619,327,2003,Boroondara City Council,-37.8554,145.0611,Southern Metropolitan,10412,8
Glen Iris,16 Flowerdale Rd,5,h,2000000,PI,Marshall,14/05/2016,9.2,3146,5,3,1,696,248,1920,Boroondara City Council,-37.8563,145.0709,Southern Metropolitan,10412,8
Glen Iris,116 High St,5,h,2825000,PI,Jellis,17/09/2016,9.2,3146,5,4,4,802,206,2013,Boroondara City Council,-37.8627,145.0719,Southern Metropolitan,10412,9
Glen Iris,33 Rosedale Rd,5,h,3085000,S,Marshall,18/03/2017,9.2,3146,5,3,3,778,326,2000,Boroondara City Council,-37.8582,145.0715,Southern Metropolitan,10412,8
Glen Iris,3 Florence St,5,h,2352500,PI,Marshall,19/11/2016,9.2,3146,5,3,2,642,336,1930,Boroondara City Council,-37.859,145.0656,Southern Metropolitan,10412,8
Glen Iris,23 Flowerdale Rd,5,h,3860000,S,Marshall,19/11/2016,9.2,3146,5,4,2,830,520,2009,Boroondara City Council,-37.8563,145.072,Southern Metropolitan,10412,9
Glen Iris,14 Queens Pde,5,h,2410000,PI,Marshall,27/11/2016,9.2,3146,5,2,2,654,354,2015,Boroondara City Council,-37.8515,145.0922,Southern Metropolitan,10412,7
Glen Iris,3 Fairview Gr,5,h,3365000,S,RT,28/05/2016,9.2,3146,5,2,2,1339,270,1925,Boroondara City Council,-37.8649,145.0547,Southern Metropolitan,10412,7
Glen Iris,35 Adrian St,5,h,2400000,VB,Jellis,30/07/2016,9.2,3146,5,3,2,709,672,1930,Boroondara City Council,-37.8529,145.0806,Southern Metropolitan,10412,8
Glenroy,45 Cosmos St,5,h,810000,S,Stockdale,11/03/2017,13,3046,5,4,4,695,176,1950,Moreland City Council,-37.7028,144.9377,Northern Metropolitan,8870,9
Hampton,2/524 Bluff Rd,5,h,1400000,VB,hockingstuart,4/03/2017,13.7,3188,5,2,2,434,168,,Bayside City Council,-37.9361,145.0243,Southern Metropolitan,5454,7
Hampton,65 Linacre Rd,5,h,3470000,SP,Marshall,12/11/2016,13.7,3188,5,3,4,670,413,2008,Bayside City Council,-37.9427,145.0085,Southern Metropolitan,5454,8
Hampton,16 Smith St,5,h,2600000,PI,Hodges,18/03/2017,13.7,3188,5,4,2,1000,324,1950,Bayside City Council,-37.9332,145.0226,Southern Metropolitan,5454,9
Hampton,70 Highett Rd,5,h,1705000,PI,Buxton,18/06/2016,13.7,3188,5,2,2,648,364,1950,Bayside City Council,-37.946,145.0181,Southern Metropolitan,5454,7
Hampton,107 Willis St,5,h,2980000,S,hockingstuart,19/11/2016,13.7,3188,5,3,2,694,323,2011,Bayside City Council,-37.9372,145.0101,Southern Metropolitan,5454,8
Hampton,52 Service St,4,h,2250000,S,Buxton,28/08/2016,13.7,3188,5,2,2,647,260,1925,Bayside City Council,-37.9407,145.0104,Southern Metropolitan,5454,7
Hawthorn,2 Fordholm Rd,5,h,4250000,PI,Marshall,17/09/2016,4.6,3122,5,4,3,1275,435,1930,Boroondara City Council,-37.8291,145.0308,Southern Metropolitan,11308,9
Hawthorn,3 Glen St,5,h,3500000,VB,Marshall,17/09/2016,4.6,3122,5,1,3,740,5,,Boroondara City Council,-37.8298,145.0355,Southern Metropolitan,11308,6
Hawthorn,9 Power St,5,h,3750000,PI,Marshall,28/05/2016,4.6,3122,5,3,2,827,344,1920,Boroondara City Council,-37.8144,145.0279,Southern Metropolitan,11308,8
Heidelberg Heights,8 Leonard St,5,h,890000,S,hockingstuart,16/04/2016,10.5,3081,5,2,2,596,172,1972,Banyule City Council,-37.7487,145.0522,Eastern Metropolitan,2947,7
Ivanhoe,9 Cook St,3,h,981000,S,Nelson,4/06/2016,7.9,3079,5,3,2,626,378,2016,Banyule City Council,-37.76,145.0326,Eastern Metropolitan,5549,8
Ivanhoe,6 Fairy St,5,h,2600000,S,Miles,18/06/2016,7.9,3079,5,3,1,1006,411,1920,Banyule City Council,-37.7765,145.0427,Eastern Metropolitan,5549,8
Keilor East,1/67 Milleara Rd,2,u,502000,S,Nelson,22/05/2016,12.8,3033,5,1,2,0,85,1990,Brimbank City Council,-37.7346,144.8646,Western Metropolitan,5629,6
Kensington,11 Nottingham St,5,h,1710000,PI,Nelson,10/09/2016,4.2,3031,5,2,2,566,270,1890,Melbourne City Council,-37.7893,144.933,Northern Metropolitan,5263,7
Kensington,11 Nottingham St,5,h,1900000,VB,Nelson,16/04/2016,4.2,3031,5,2,2,566,270,1890,Melbourne City Council,-37.7893,144.933,Northern Metropolitan,5263,7
Kew,23 Grange Rd,5,h,4850000,S,Caine,12/11/2016,5.6,3101,5,4,4,957,400,1930,Boroondara City Council,-37.8112,145.057,Southern Metropolitan,10331,9
Kew,21 Grandview Tce,4,h,1800000,VB,Kay,17/09/2016,5.6,3101,5,2,2,586,187,1940,Boroondara City Council,-37.7933,145.0343,Southern Metropolitan,10331,7
Kew,176 Peel St,5,h,2550000,PI,Marshall,18/06/2016,5.6,3101,5,4,2,597,342,2016,Boroondara City Council,-37.7937,145.0353,Southern Metropolitan,10331,9
Kew,68 Mary St,5,h,2425000,VB,Jellis,25/02/2017,5.6,3101,5,2,2,534,237,1890,Boroondara City Council,-37.8044,145.0386,Southern Metropolitan,10331,7
Kew,7 Heather Gr,5,h,2600000,VB,hockingstuart,27/11/2016,5.6,3101,5,2,2,674,281,1959,Boroondara City Council,-37.8064,145.0608,Southern Metropolitan,10331,7
Kew,17 Hartington St,5,h,2800000,PI,Marshall,28/08/2016,5.6,3101,5,2,3,920,241,1900,Boroondara City Council,-37.8017,145.0419,Southern Metropolitan,10331,7
Kew East,106 Kilby Rd,5,h,1950000,VB,hockingstuart,4/06/2016,7.5,3102,5,2,3,711,253,1940,Boroondara City Council,-37.7923,145.0528,Southern Metropolitan,2671,7
Kew East,17 Minogue St,5,h,2100000,VB,Nelson,18/06/2016,7.5,3102,5,3,2,695,360,1950,Boroondara City Council,-37.7904,145.0548,Southern Metropolitan,2671,8
Maidstone,4 Maple St,5,h,1350000,S,Biggin,19/11/2016,9.2,3012,5,3,2,527,358,2009,Maribyrnong City Council,-37.7746,144.8727,Western Metropolitan,3873,8
Malvern,18 Soudan St,5,h,4240000,S,Marshall,19/11/2016,7.4,3144,5,3,3,580,320,1890,Stonnington City Council,-37.8653,145.0304,Southern Metropolitan,4675,8
Malvern,3/197 Wattletree Rd,5,h,2325000,S,Marshall,25/02/2017,7.4,3144,5,3,2,501,233,2006,Stonnington City Council,-37.8631,145.0353,Southern Metropolitan,4675,8
Malvern East,35 Warley Rd,5,h,2350000,PI,Jellis,3/12/2016,11.2,3145,5,2,2,567,327,1915,Stonnington City Council,-37.8786,145.0495,Southern Metropolitan,8801,7
Malvern East,8 Ash Gr,5,h,4802500,S,Marshall,10/12/2016,11.2,3145,5,2,4,837,267,1919,Stonnington City Council,-37.8756,145.0561,Southern Metropolitan,8801,7
Maribyrnong,4 Platypus Ct,5,h,1150000,SP,Biggin,10/09/2016,8.7,3032,5,3,2,446,286,2002,Maribyrnong City Council,-37.7712,144.8763,Western Metropolitan,4918,8
Maribyrnong,7 Pridham St,5,h,1151000,S,Biggin,27/06/2016,8.7,3032,5,2,5,694,232,1950,Maribyrnong City Council,-37.7819,144.8901,Western Metropolitan,4918,7
Mont Albert,4/30 Kenmare St,5,h,1400000,PI,Marshall,10/12/2016,11.8,3127,5,4,2,355,25,1979,Boroondara City Council,-37.812,145.1074,Eastern Metropolitan,2079,9
Mont Albert,6 Serpentine St,5,h,1815000,S,Jellis,19/11/2016,11.8,3127,5,1,0,711,207,1950,Boroondara City Council,-37.8195,145.1134,Eastern Metropolitan,2079,6
Moonee Ponds,75 Scott St,5,h,1900000,VB,Nelson,15/10/2016,6.9,3039,5,3,2,646,261,1925,Moonee Valley City Council,-37.7625,144.9074,Western Metropolitan,6232,8
Moonee Ponds,44 Vine St,5,h,2340000,S,Rendina,15/10/2016,6.9,3039,5,3,3,619,372,2009,Moonee Valley City Council,-37.7691,144.9321,Western Metropolitan,6232,8
Moonee Ponds,18A Fanny St,5,t,980000,PI,Nelson,18/03/2017,6.9,3039,5,2,2,207,168,2004,Moonee Valley City Council,-37.7615,144.9333,Western Metropolitan,6232,7
Newport,106 Johnston St,4,h,1265000,S,RT,18/06/2016,8.4,3015,5,2,2,774,185,1950,Hobsons Bay City Council,-37.8366,144.8758,Western Metropolitan,5498,7
Northcote,13 Hawthorn Rd,4,h,2175000,S,Nelson,13/08/2016,5.5,3070,5,2,1,573,186,1890,Darebin City Council,-37.7707,144.9924,Northern Metropolitan,11364,7
Northcote,29 Traill St,5,h,1700000,S,Nelson,27/06/2016,5.5,3070,5,3,1,450,265,1930,Darebin City Council,-37.7701,144.9886,Northern Metropolitan,11364,8
Northcote,4 Clifton St,5,h,1820000,SP,hockingstuart,28/05/2016,5.5,3070,5,3,2,344,230,1939,Darebin City Council,-37.7677,145.0085,Northern Metropolitan,11364,8
Oak Park,10 Grevillia Rd,5,h,1100000,PI,Nelson,12/11/2016,11.5,3046,5,2,4,783,223,1950,Moreland City Council,-37.7207,144.9263,Northern Metropolitan,2651,7
Oak Park,11 Hillcrest Rd,5,h,900000,VB,Brad,30/07/2016,11.5,3046,5,2,2,568,260,1995,Moreland City Council,-37.7129,144.9253,Northern Metropolitan,2651,7
Oakleigh South,4 Cascade St,5,h,900000,S,Ray,11/02/2017,14.7,3167,5,2,2,558,239,1987,Kingston City Council,-37.9366,145.0954,South-Eastern Metropolitan,3692,7
Pascoe Vale,16 Hayes Pde,5,h,950000,VB,Nelson,10/12/2016,9.9,3044,5,2,2,705,166,1950,Moreland City Council,-37.7328,144.9281,Northern Metropolitan,7485,7
Port Melbourne,146 Dow St,5,h,2350000,S,hockingstuart,15/10/2016,3.8,3207,5,1,2,350,173,1890,Melbourne City Council,-37.8407,144.9424,Southern Metropolitan,8648,6
